Year,Real GDP (1700 =100),,,,,Nominal GDP (mln £),,Price Index (1700=100),,,,,Population (1700=100),pop,rurpop,"Urbanisation as in De Vries, qouted in Tsoulouhas",
,Agriculture,Industry,Services,real_gdp,,nom_gdp,,Agriculture,Industry,Services,gdp_deflator,,population_index,population,,,
,,,,,,,,,,,,,,,,,
1270,64.6,28.15,37.01,40.58,,4.44,,17.79,15.35,16.69,16.6,,84.01,4355455.756,,,
1271,63.92,27.38,37.41,40.16,,4.79,,20.68,14.96,17.62,18.09,,84.14,4362288.313,,,
1272,69.03,27.72,37.51,41.67,,4.96,,23.48,13.36,14.35,18.07,,84.27,4369131.589,,,
1273,61.4,26.86,37.55,39.3,,4.42,,19.67,14.88,15.67,17.06,,84.4,4375985.6,,,
1274,60.49,26.99,37.65,39.16,,4.69,,21.95,13.73,16.91,18.18,,84.54,4382850.362,,,
1275,76.87,29.76,37.87,44.76,,5.47,,22.74,14,16.71,18.55,,84.67,4389725.894,,,
1276,62.29,26.45,37.73,39.39,,4.44,,20.19,13.73,16,17.11,,84.8,4396612.212,,,
1277,71.11,27.28,37.75,42.06,,5.25,,22.7,15.08,17.27,18.95,,84.94,4403509.333,,,
1278,77.62,26.83,38.03,43.61,,5.03,,20.18,14.09,17.1,17.5,,85.07,4410417.273,,,
1279,56.87,22.53,37.93,36.19,,3.96,,18.86,13.81,16.26,16.59,,85.2,4417336.05,,,
1280,59.32,22.29,38.13,36.77,,4.27,,19.59,14.52,18.14,17.63,,85.75,4445840.943,,,
1281,67.12,22.81,38.39,39.1,,4.29,,19.61,13.85,15.18,16.64,,86.3,4474529.776,,,
1282,64.04,22.14,38.27,37.96,,4.59,,20.81,15.55,17.74,18.33,,86.86,4503403.738,,,
1283,57.84,21.49,38.48,36.11,,4.37,,21.81,13.79,17.69,18.34,,87.42,4532464.022,,,
1284,62.86,21.16,38.9,37.37,,4.39,,21,13.64,17.31,17.83,,87.99,4561711.83,,,
1285,65.22,20.84,39.05,37.87,,3.83,,17.11,13.1,15.29,15.34,,88.55,4591148.374,,,
1286,62.62,21,39.34,37.36,,4.05,,19.18,13.97,15.12,16.46,,89.13,4620774.871,,,
1287,72.95,22.6,39.84,40.92,,4.33,,17.89,13.7,15.95,16.04,,89.7,4650592.546,,,
1288,69.77,21.54,40.19,39.7,,3.71,,14.14,14.84,14.39,14.16,,90.28,4680602.633,,,
1289,61.18,19.66,40.41,36.66,,3.64,,15.5,14.32,15.8,15.05,,90.86,4710806.375,,,
1290,61.68,20.15,41.06,37.21,,3.8,,17.9,11.18,16.28,15.51,,91.45,4741205.019,,,
1291,60.75,20.75,41.15,37.28,,4.26,,20.47,13.35,16.65,17.33,,91.4,4738698.429,,,
1292,64.59,22.73,41.33,39.26,,4.39,,19.71,13.27,16.7,16.97,,91.35,4736193.164,,,
1293,65.44,24.27,41.26,40.18,,4.42,,19.41,12.9,16.44,16.68,,91.3,4733689.223,,,
1294,63.76,24.71,40.98,39.88,,4.9,,22.89,13.04,17.63,18.64,,91.26,4731186.607,,,
1295,69.98,27.02,41.45,42.71,,5.46,,24.24,13.09,18.1,19.4,,91.21,4728685.313,,,
1296,73.93,28.34,41.67,44.41,,5.62,,23.94,13.24,17.75,19.2,,91.16,4726185.342,,,
1297,68.75,26.79,42.19,42.49,,4.48,,17.62,14.16,15.87,16,,91.11,4723686.692,,,
1298,77.45,26.51,42.5,44.7,,5.38,,21.3,15.14,17.06,18.26,,91.06,4721189.363,,,
1299,71.22,26.57,42.24,43.04,,5.46,,22.45,15.98,17.96,19.25,,91.01,4718693.355,,,
1300,69.96,26.49,42.47,42.74,,5.45,,20.45,20.27,17.84,19.35,,90.97,4716198.666,,,
1301,73.04,25.38,42.57,43.04,,5.26,,19.83,18.8,17.31,18.55,,90.92,4713705.296,,,
1302,72.08,28.53,42.12,44.16,,5.36,,19.46,19.18,17.14,18.43,,90.87,4711213.245,,,
1303,74.92,30.69,42.38,45.98,,5.35,,17.78,19.51,16.82,17.65,,90.82,4708722.51,,,
1304,64.79,26.93,42.38,41.6,,4.89,,18.08,19.07,17.38,17.84,,90.77,4706233.093,,,
1305,69.87,26.33,42.83,42.75,,5.39,,20.91,18.94,17.42,19.12,,90.73,4703744.992,,,
1306,67.46,25.44,42.16,41.51,,5.18,,22.13,15.74,17.57,18.93,,90.68,4701258.206,,,
1307,72.55,26.89,42.16,43.51,,5.38,,20.69,17.79,17.46,18.74,,90.63,4698772.735,,,
1308,72.75,28.02,41.89,44.02,,5.63,,22.21,17.58,17.45,19.39,,90.58,4696288.578,,,
1309,75.34,28.95,41.82,45.11,,6.39,,24.61,19.9,18.97,21.48,,90.53,4693805.734,,,
1310,72.15,29.39,41.85,44.51,,6.54,,26.52,19.3,19.19,22.28,,90.49,4691324.203,,,
1311,76.03,30.47,42.04,46.07,,6.66,,25.91,19.76,18.49,21.91,,90.44,4688843.984,,,
1312,73.12,29.44,42.1,44.85,,5.74,,20.64,20.39,17.65,19.41,,90.39,4686365.076,,,
1313,75.65,29.87,41.88,45.64,,5.9,,20.8,20.8,17.74,19.61,,90.34,4683887.478,,,
1314,73.11,31.5,41.51,45.65,,6.24,,21.79,22.59,18.54,20.73,,90.3,4681411.191,,,
1315,58.77,29.3,41.88,41.02,,5.9,,24.85,20.94,18.87,21.82,,90.25,4678936.212,,,
1316,54.17,27.53,40.92,38.72,,7.83,,43.33,17.55,23.17,30.68,,89.08,4618274.494,,,
1317,60.08,28.2,40.71,40.5,,7.87,,39.96,19.15,23.02,29.48,,87.92,4558399.246,,,
1318,73.69,29.97,40.14,44.68,,6.56,,26.53,19.42,19.04,22.27,,86.78,4499300.272,,,
1319,74.33,30.54,39.28,44.87,,5.5,,19.23,19.89,17.45,18.58,,85.66,4440967.508,,,
1320,71.29,29.06,39.29,43.4,,5.88,,21.26,24.04,17.51,20.55,,84.55,4383391.019,,,
1321,54.98,24.27,38.51,36.7,,5.1,,24.97,18.97,17.81,21.09,,83.45,4326561,,,
1322,60.01,26.1,37.66,38.61,,6.7,,35.43,17.49,20.56,26.3,,82.37,4270467.775,,,
1323,64.83,26.49,37.7,40.05,,6.12,,29.22,18.88,18.32,23.17,,81.3,4215101.79,,,
1324,56.36,24.04,36.92,36.49,,5.1,,24.21,20.75,17.92,21.22,,80.25,4160453.617,,,
1325,66.55,25.12,36.43,39.49,,6.28,,27.37,25.17,19.25,24.12,,79.21,4106513.949,,,
1326,68.17,25.91,36.29,40.24,,5.72,,22.82,24.74,17.92,21.56,,79.75,4134603.999,,,
1327,65.35,26.22,36.76,39.79,,4.52,,17.61,19.34,15.78,17.24,,80.29,4162886.196,,,
1328,56.67,25.37,36.87,37.18,,4.49,,20.3,18.03,16.39,18.32,,80.84,4191361.853,,,
1329,62.89,26.21,37.47,39.35,,5.03,,22.3,18.41,16.64,19.4,,81.4,4220032.294,,,
1330,61.67,25.12,37.6,38.56,,5.17,,23.19,19.82,17.22,20.32,,81.95,4248898.852,,,
1331,57.06,24.19,37.76,36.98,,5.37,,23.54,24.89,18.3,22.03,,82.51,4277962.867,,,
1332,63.9,24.84,38.14,39.16,,5.73,,25.29,22,18.57,22.2,,83.08,4307225.69,,,
1333,68.31,25.32,38.32,40.58,,4.95,,19.79,19.63,16.45,18.5,,83.65,4336688.682,,,
1334,64.68,24.77,38.67,39.48,,4.55,,18.08,19.31,15.86,17.47,,84.22,4366353.211,,,
1335,60.47,23.82,39.06,38.06,,4.37,,18.24,18.63,15.99,17.41,,84.79,4396220.657,,,
1336,63.26,26.63,39.05,40.1,,4.79,,20.33,17.23,16.32,18.12,,85.37,4426292.407,,,
1337,71.77,31.63,39.25,44.72,,4.92,,17.58,17.33,15.63,16.69,,85.96,4456569.859,,,
1338,74.06,32.13,40.35,45.86,,4.97,,16.54,19.01,15.01,16.45,,86.55,4487054.419,,,
1339,55.06,24.26,41.82,37.66,,3.76,,14.08,18.96,14.34,15.12,,87.14,4517747.505,,,
1340,68.07,27.03,42.27,42.45,,5.25,,20.35,20.2,15.91,18.74,,87.73,4548650.542,,,
1341,64.54,29.99,43,43.16,,4.96,,18.08,19.91,15.18,17.43,,88.33,4579764.968,,,
1342,70.1,31.38,43.71,45.45,,5.04,,18.66,16.7,14.89,16.83,,88.94,4611092.228,,,
1343,66.27,31.36,43.72,44.46,,4.84,,17.74,17.34,14.68,16.5,,89.55,4642633.778,,,
1344,75.26,33.19,44.16,47.76,,5.76,,21.8,16.02,15.64,18.31,,90.16,4674391.083,,,
1345,67.62,30.65,44.72,44.75,,5.1,,19.37,17.01,15.14,17.3,,90.78,4706365.62,,,
1346,61.56,29.44,45.3,42.78,,4.9,,19.23,17.62,15.08,17.36,,91.4,4738558.874,,,
1347,67.35,30,45.96,44.73,,5.66,,23.67,15.62,16.11,19.2,,92.02,4770972.342,,,
1348,71.01,30.72,46.42,46.15,,5.85,,22.8,17.32,16.09,19.21,,92.65,4803607.53,,,
1349,49.92,23.96,38.76,35.32,,3.77,,16.39,18.31,14.95,16.2,,75.49,3913612.184,,,
1350,51.52,21.68,32.2,32.77,,4.21,,21.14,20.52,17.03,19.5,,61.5,3188512.016,,,
1351,53.85,19.5,26.97,30.84,,4.63,,26.43,22.29,18.52,22.78,,50.11,2597755.832,,,
1352,56.73,20.58,26.37,31.93,,5.18,,29.67,23.16,19.05,24.63,,50.03,2593710.089,,,
1353,54.28,22.16,26.14,31.97,,4.56,,22.89,25.28,17.67,21.65,,49.95,2589670.646,,,
1354,52.9,19.27,27.27,30.57,,4.28,,21.47,26.27,17.63,21.22,,49.87,2585637.495,,,
1355,58.61,18.21,26.98,31.46,,4.32,,20.07,27.48,17.37,20.81,,49.79,2581610.625,,,
1356,52.67,20.62,26.69,30.99,,4.47,,21.33,28.47,18.35,21.9,,49.72,2577590.027,,,
1357,54.91,20.44,26.85,31.53,,4.79,,24.48,26.56,18.86,23.03,,49.64,2573575.69,,,
1358,56.41,20,26.63,31.64,,4.65,,23.87,25.33,18.29,22.29,,49.56,2569567.605,,,
1359,56.53,20.71,26.37,31.94,,4.65,,23.32,25.86,18.1,22.11,,49.48,2565565.763,,,
1360,55.6,20.52,26.61,31.67,,4.72,,23.79,26.16,18.88,22.61,,49.41,2561570.153,,,
1361,51.87,20.34,26.22,30.52,,4.65,,24.78,26.75,18.46,23.1,,49.33,2557580.765,,,
1362,51.99,18.31,26.52,29.67,,4.39,,24.43,24.21,19.02,22.47,,49.25,2553597.591,,,
1363,50.69,17.42,25.99,28.76,,4.58,,26.3,26.61,19.89,24.16,,49.18,2549620.62,,,
1364,57.76,20.48,25.54,31.9,,5.21,,28.04,25.64,20.1,24.78,,49.1,2545649.843,,,
1365,52.95,19.95,25.62,30.44,,4.77,,25.87,25.51,20.1,23.75,,49.02,2541685.25,,,
1366,57.94,19.16,25.47,31.31,,4.65,,23.25,26.51,19.15,22.53,,48.95,2537726.831,,,
1367,50.86,18.86,25.46,29.33,,4.59,,24.67,27.47,20.27,23.73,,48.87,2533774.577,,,
1368,49.63,19.33,24.93,29.09,,4.46,,25.9,24.27,19.34,23.25,,48.8,2529828.479,,,
1369,44.82,17.87,24.8,27.12,,4.31,,25.02,28.06,20.51,24.1,,48.72,2525888.526,,,
1370,55.46,19.11,24.43,30.34,,6.62,,42.65,26.61,25.04,33.11,,48.64,2521954.709,,,
1371,53.66,17.81,24.6,29.32,,4.72,,26.57,26.52,20.38,24.4,,48.57,2518027.018,,,
1372,47.45,15.23,24.55,26.47,,4.08,,23.68,27.7,20.43,23.37,,48.49,2514105.445,,,
1373,54.94,15.58,24.7,28.62,,4.71,,25.77,30.09,20.64,24.98,,48.42,2510189.979,,,
1374,47.77,14.51,24.77,26.28,,3.82,,22.29,26.1,19.4,22.06,,48.34,2506280.611,,,
1375,44.77,13.86,25.16,25.31,,4.07,,27.58,24.4,20.49,24.38,,48.27,2502377.332,,,
1376,56.53,15.82,24.93,29.21,,4.69,,27.82,23.97,20.49,24.38,,48.19,2498480.131,,,
1377,57.13,17.41,24.61,30.02,,4.32,,21.8,26.65,18.81,21.8,,48.12,2494589,,,
1378,54.93,16.92,25.47,29.47,,3.94,,19.74,24.61,18.62,20.3,,47.73,2474846.061,,,
1379,47.18,15.85,25.05,26.85,,3.77,,18.93,29.54,19.17,21.29,,47.36,2455259.374,,,
1380,48.39,17.13,25.35,27.85,,3.87,,21.4,25.21,18.13,21.08,,46.98,2435827.701,,,
1381,50.02,17.25,25.45,28.35,,3.98,,21.13,25.04,19.59,21.32,,46.61,2416549.817,,,
1382,52.74,17.5,25.21,29.11,,3.94,,19.99,25.09,18.58,20.53,,46.24,2397424.504,,,
1383,46.72,17.87,24.8,27.61,,3.72,,19.9,25.14,18.45,20.46,,45.88,2378450.554,,,
1384,57.03,19.19,25.15,31,,4.42,,21,27.03,19.15,21.62,,45.51,2359626.77,,,
1385,47.49,18.32,24.87,28.04,,3.8,,19.6,25.63,18.9,20.57,,45.15,2340951.964,,,
1386,55.72,20.45,24.69,31.12,,4.14,,20.3,23.49,18.19,20.17,,44.8,2322424.955,,,
1387,56.57,19.92,24.83,31.13,,3.92,,18.38,23,17.95,19.1,,44.44,2304044.575,,,
1388,48.74,18.91,24.64,28.58,,3.32,,16.45,21.61,17.11,17.63,,44.09,2285809.663,,,
1389,49.99,20.19,24.16,29.37,,3.45,,15.18,24.48,17.33,17.82,,43.74,2267719.067,,,
1390,44.09,19.01,24.33,27.34,,3.76,,20.63,24.89,18.99,20.88,,43.39,2249771.646,,,
1391,54.61,20.3,23.53,30.43,,4.64,,26.02,22.77,20.05,23.14,,43.05,2231966.266,,,
1392,64.62,22.52,23.5,34.05,,4.4,,19.55,22.9,17.95,19.61,,42.71,2214301.804,,,
1393,46.49,19.6,23.5,28,,3.44,,17.06,23.59,17.97,18.64,,42.37,2196777.143,,,
1394,54.91,20.56,23.38,30.59,,3.78,,17.56,23.03,17.97,18.73,,42.04,2179391.178,,,
1395,49.29,20.59,23.29,29.13,,3.75,,19.03,22.94,18.45,19.52,,41.7,2162142.811,,,
1396,49.32,20.67,23.23,29.15,,3.67,,18.75,21.98,18.19,19.09,,41.37,2145030.952,,,
1397,46.52,20.85,22.7,28.37,,3.82,,21.76,21.6,18.49,20.45,,41.05,2128054.522,,,
1398,53.01,21.32,22.51,30.21,,4.31,,22.42,24.23,19.43,21.67,,40.72,2111212.449,,,
1399,47.8,21.34,22.44,28.85,,4,,20.64,25.23,19.24,21.04,,40.4,2094503.669,,,
1400,44.74,21.35,21.87,27.9,,4.01,,20.88,27,19.94,21.78,,40.08,2077927.128,,,
1401,43.92,21.06,21.75,27.52,,4.19,,22.73,27.99,20.72,23.09,,40.04,2075795.745,,,
1402,47.03,20.62,22.16,28.24,,4.3,,26.71,20.43,20.91,23.12,,40,2073666.548,,,
1403,48.42,21.05,21.73,28.68,,4.6,,25.89,26.4,21.39,24.34,,39.96,2071539.535,,,
1404,49.52,21.4,21.81,29.14,,4.12,,19.01,28.56,20.52,21.47,,39.91,2069414.704,,,
1405,50.6,20.97,21.64,29.17,,4.17,,18.49,30.59,20.41,21.69,,39.87,2067292.053,,,
1406,44.65,19.53,21.93,27.04,,3.83,,16.86,33.05,20.28,21.51,,39.83,2065171.578,,,
1407,45.09,19.38,21.83,27.05,,3.64,,17.6,27.69,19.91,20.44,,39.79,2063053.279,,,
1408,38.56,18.6,21.88,25.01,,3.64,,21.29,27.07,20.17,22.05,,39.75,2060937.153,,,
1409,42.07,18.34,22.13,25.87,,4.22,,23.16,32.82,21.7,24.75,,39.71,2058823.197,,,
1410,47.91,18.65,21.93,27.47,,4.53,,26.34,28.13,21.51,25,,39.67,2056711.409,,,
1411,44.94,19.15,21.76,26.88,,4.28,,23.27,30.55,21.29,24.13,,39.63,2054601.788,,,
1412,42.91,18.93,21.72,26.24,,3.62,,20.15,24.8,19.99,20.92,,39.59,2052494.33,,,
1413,36.22,17.16,22.04,23.78,,3.38,,19.64,28.3,20.1,21.57,,39.55,2050389.034,,,
1414,43.37,20.16,21.92,27,,3.72,,19.05,26.77,20.06,20.92,,39.51,2048285.898,,,
1415,43.12,21.38,22.25,27.61,,4.04,,19.07,31.35,20.66,22.22,,39.47,2046184.919,,,
1416,40.29,20.96,22,26.61,,3.98,,23.02,25.83,20.77,22.71,,39.43,2044086.095,,,
1417,48.78,21.42,22.18,29.07,,4.51,,25.82,23.7,20.98,23.53,,39.39,2041989.423,,,
1418,44.88,20.34,22.24,27.57,,3.92,,20.24,26.83,20.41,21.58,,39.35,2039894.903,,,
1419,48.92,21.15,22.31,29.02,,4.33,,21.25,28.86,20.83,22.65,,39.31,2037802.53,,,
1420,46.44,20.98,22.31,28.29,,3.94,,20.15,25.64,19.93,21.11,,39.26,2035712.304,,,
1421,39.8,20.63,22.28,26.41,,4.02,,22.14,29.01,20.74,23.07,,39.22,2033624.222,,,
1422,42.48,20.88,22.42,27.26,,3.72,,20.55,23.15,20.02,20.71,,39.18,2031538.282,,,
1423,47.22,21.1,22.99,28.75,,4,,21.28,23.55,19.94,21.12,,39.14,2029454.481,,,
1424,49.36,20.63,22.57,28.96,,4.11,,20.6,26.19,20.13,21.51,,39.1,2027372.818,,,
1425,45.52,20.71,22.36,27.95,,3.9,,21.72,22.81,20.02,21.17,,39.06,2025293.29,,,
1426,44.25,19.83,21.96,27.09,,4.32,,24.09,29.19,21.36,24.19,,39.02,2023215.895,,,
1427,43.45,18.89,21.7,26.36,,4.05,,23.13,27.46,21.18,23.28,,38.98,2021140.63,,,
1428,40.68,17.14,21.43,24.74,,3.94,,23.62,29.69,21.62,24.17,,38.94,2019067.495,,,
1429,41.74,18.5,21.14,25.57,,4.58,,29.53,29.5,22.74,27.15,,38.9,2016996.486,,,
1430,44.04,19.03,20.74,26.3,,4.57,,29.89,27.2,21.33,26.36,,38.86,2014927.601,,,
1431,43.29,19.71,20.67,26.41,,3.5,,18.27,26.51,18.75,20.13,,38.75,2009016.184,,,
1432,43.78,18.73,20.62,26.06,,3.66,,21.26,25.14,19.33,21.33,,38.64,2003122.109,,,
1433,45.75,19.36,20.41,26.81,,4.16,,25.39,25.76,19.99,23.56,,38.52,1997245.327,,,
1434,48.3,21.43,20.21,28.39,,4.13,,22.89,24.67,19.69,22.07,,38.41,1991385.786,,,
1435,41.29,18.42,20.38,25.2,,3.48,,20.7,24.8,19.14,20.94,,38.3,1985543.436,,,
1436,37.88,16.9,19.87,23.46,,3.21,,20.05,25.58,18.86,20.75,,38.18,1979718.227,,,
1437,33.88,16.92,20.07,22.49,,3.06,,20.26,24.47,19.04,20.63,,38.07,1973910.107,,,
1438,35.68,18.11,20.33,23.59,,3.96,,27.68,28,21.1,25.47,,37.96,1968119.028,,,
1439,39.29,18.46,20.08,24.62,,4.6,,33.69,27.02,22.45,28.37,,37.85,1962344.938,,,
1440,43.35,16.31,20.7,24.83,,3.78,,24.28,26.06,19.94,23.11,,37.74,1956587.788,,,
1441,34.33,15.38,20.25,21.93,,2.74,,16.68,24.88,18.48,18.93,,37.63,1950847.529,,,
1442,34.65,16.88,20.12,22.69,,2.96,,17.16,27.04,18.78,19.76,,37.52,1945124.11,,,
1443,50.66,18.01,20.37,27.42,,3.53,,18.02,24.87,18.47,19.54,,37.41,1939417.483,,,
1444,52.46,16.93,20.32,27.36,,3.42,,17.16,23.86,18.62,18.93,,37.3,1933727.599,,,
1445,38.53,16.72,20.01,23.58,,2.96,,15.97,26.64,18.41,19.01,,37.19,1928054.407,,,
1446,43.72,16.89,20.21,25.06,,3.41,,18.88,27.06,19.08,20.63,,37.08,1922397.859,,,
1447,44.8,17.77,19.83,25.64,,3.79,,19.76,31.51,20.15,22.43,,36.97,1916757.907,,,
1448,46.53,18.35,20.21,26.48,,3.8,,18.72,31.18,19.72,21.75,,36.86,1911134.501,,,
1449,39.42,18.11,19.31,24.27,,3.45,,18.61,30.81,19.56,21.57,,36.75,1905527.593,,,
1450,42,17.94,19.81,25,,3.35,,17.81,27.43,19.33,20.31,,36.65,1899937.135,,,
1451,43.29,17.59,19.72,25.11,,3.25,,18.67,24.48,18.74,19.63,,36.75,1905498.029,,,
1452,42.24,17.68,19.56,24.85,,3.22,,19.45,23.3,19.1,19.68,,36.86,1911075.198,,,
1453,42.97,17.79,19.68,25.12,,3.24,,17.74,25.46,18.88,19.57,,36.97,1916668.692,,,
1454,42.71,18.27,19.32,25.2,,3.26,,19.89,22.87,18.69,19.64,,37.08,1922278.557,,,
1455,43.29,17.62,19.49,25.07,,3.12,,16.9,25.04,17.98,18.88,,37.19,1927904.842,,,
1456,43.86,17.79,19.89,25.4,,3.48,,20.16,25.9,19.11,20.76,,37.29,1933547.594,,,
1457,36.24,17.71,19.2,23.29,,2.97,,17.74,24.99,18.53,19.35,,37.4,1939206.862,,,
1458,41.57,17.69,19.63,24.71,,3.33,,19.55,25.92,18.77,20.43,,37.51,1944882.694,,,
1459,41.81,17.05,19.4,24.38,,3.26,,20.06,24.81,18.74,20.3,,37.62,1950575.138,,,
1460,41.43,17.57,18.99,24.44,,3.4,,21.34,24.99,19.56,21.08,,37.73,1956284.243,,,
1461,41.8,17.6,19.17,24.59,,3.48,,22.3,24.73,19.86,21.47,,37.84,1962010.059,,,
1462,49.94,18.26,19.21,26.95,,4,,23.48,26.47,20.07,22.54,,37.95,1967752.633,,,
1463,50.73,18.74,19.02,27.34,,3.38,,16.68,24.8,18.15,18.76,,38.07,1973512.014,,,
1464,43.41,17.47,19.41,24.99,,3.12,,17.55,23.79,18.6,18.92,,38.18,1979288.253,,,
1465,40.79,17.69,18.89,24.32,,3.27,,20.66,23.79,19.52,20.43,,38.29,1985081.399,,,
1466,38.31,18.46,19.21,24.18,,3.25,,19.17,26.34,18.62,20.37,,38.4,1990891.5,,,
1467,41.24,18.49,19.42,24.98,,3.65,,21.27,28.46,19.8,22.16,,38.51,1996718.607,,,
1468,45.63,18.63,19.4,26.13,,3.65,,20.65,26.47,19.44,21.22,,38.63,2002562.769,,,
1469,44.58,18.39,19.71,25.83,,3.61,,20.14,27.05,19.48,21.19,,38.74,2008424.036,,,
1470,41.79,18.53,19.47,25.15,,3.85,,21,31.91,20.32,23.22,,38.85,2014302.458,,,
1471,37.62,18.59,19.27,24.09,,3.7,,24.23,27.66,20.37,23.28,,38.97,2020198.086,,,
1472,39.65,18.98,19.83,24.95,,3.34,,20.86,23.2,19.33,20.29,,39.08,2026110.969,,,
1473,40.25,18.38,19.82,24.79,,3.21,,17.85,25.48,18.92,19.64,,39.19,2032041.159,,,
1474,43.93,18.94,20.45,26.16,,3.64,,19.31,28.02,19.29,21.09,,39.31,2037988.706,,,
1475,41.9,18.54,20.4,25.44,,3.11,,16.87,23.65,18.47,18.57,,39.42,2043953.661,,,
1476,36.55,17.41,20.74,23.64,,3.28,,19.97,26.9,19.41,21.06,,39.54,2049936.074,,,
1477,38.7,18.56,20.82,24.78,,3.26,,18.37,25.68,19.02,19.93,,39.65,2055935.998,,,
1478,40.28,19.23,20.88,25.52,,3.71,,22.42,26.43,19.81,22.03,,39.77,2061953.482,,,
1479,45.89,19.01,21.71,27.03,,3.85,,21.3,26.57,19.7,21.58,,39.89,2067988.579,,,
1480,48.22,19.65,21.45,27.86,,3.79,,18.49,27.34,19.63,20.63,,40,2074041.34,,,
1481,44.11,19.16,21.74,26.67,,3.83,,21.7,26.51,19.86,21.77,,40.12,2080111.816,,,
1482,40.33,18.68,21.94,25.55,,3.84,,25.6,24.1,20.4,22.78,,40.24,2086200.06,,,
1483,42.25,20.76,21.08,26.84,,4.15,,26.21,25.39,20.44,23.43,,40.36,2092306.124,,,
1484,42.03,20.25,21.45,26.63,,3.81,,22.99,24.52,19.89,21.7,,40.47,2098430.059,,,
1485,37.71,19.78,21.05,25.22,,3.47,,20.8,25.16,19.29,20.85,,40.59,2104571.919,,,
1486,48.61,19.84,21.25,27.99,,3.71,,18.86,25.34,19.27,20.09,,40.71,2110731.755,,,
